Time (s),X (m),Y (m),Z (m),Vx (m/s),Vy (m/s),Vz (m/s)
0.001,2.985368919565637e-06,3.913916029199982e-08,4.56976646803907e-08,-1.4631080434362971e-05,3.913916029199982e-05,4.56976646803907e-05
0.003,2.9712839439401377e-06,1.2076255588141341e-07,7.851031230242789e-08,-1.4084975625499321e-05,8.162339558941359e-05,3.2812647622037185e-05
0.005,2.888155265391218e-06,1.0470320180820249e-07,1.3708949385914915e-07,-8.312867854891983e-05,-1.6059354073210916e-05,5.8579181556721266e-05
0.007,2.8462946191420794e-06,2.1866434287053922e-07,1.5787681070022965e-07,-4.1860646249138434e-05,0.00011396114106233674,2.0787316841080488e-05
0.009000000000000001,2.8721210601556632e-06,1.978434765221886e-07,1.553898413024769e-07,2.582644101358387e-05,-2.0820866348350617e-05,-2.4869693977527687e-06
0.011000000000000003,2.811821318658195e-06,2.5676139555615507e-07,1.0334059122900052e-07,-6.029974149746825e-05,5.891791903396646e-05,-5.204925007347637e-05
0.013000000000000005,2.8249492933312846e-06,2.6821407470033843e-07,1.2645158998255239e-07,1.3127974673089567e-05,1.1452679144183358e-05,2.311099875355187e-05
0.015000000000000006,2.8272216139890594e-06,2.6663233878526843e-07,2.1316333928572896e-07,2.272320657774832e-06,-1.5817359150700094e-06,8.671174930317657e-05
0.017000000000000008,2.834211996809127e-06,2.930137247428032e-07,2.5611019323893084e-07,6.990382820067914e-06,2.6381385957534775e-05,4.2946853953201865e-05
0.01900000000000001,2.817907817641874e-06,3.0074294812803875e-07,3.244299966393463e-07,-1.63041791672532e-05,7.729223385235528e-06,6.831980340041544e-05
0.02100000000000001,2.83258158729968e-06,3.7652966150676635e-07,3.18002907774735e-07,1.467376965780605e-05,7.578671337872761e-05,-6.4270888646112665e-06
0.023000000000000013,2.7862784820950426e-06,3.88325367257166e-07,3.578432341573072e-07,-4.630310520463731e-05,1.1795705750399624e-05,3.984032638257222e-05
0.025000000000000015,2.7684804925200297e-06,4.622278205594832e-07,3.734095427584861e-07,-1.779798957501278e-05,7.390245330231723e-05,1.5566308601178896e-05
0.027000000000000017,2.769706081521119e-06,4.498087490232061e-07,3.9301161719016306e-07,1.2255890010895187e-06,-1.2419071536277125e-05,1.9602074431676967e-05
0.02900000000000002,2.7476851363341975e-06,4.0728409302157266e-07,3.43398724417595e-07,-2.2020945186921724e-05,-4.2524656001633435e-05,-4.961289277256806e-05
0.03100000000000002,2.7421479301399527e-06,4.236470472182874e-07,3.799073588451294e-07,-5.537206194244989e-06,1.6362954196714782e-05,3.65086344275344e-05
0.03300000000000002,2.771493951885881e-06,4.4102000315908245e-07,3.550046489260811e-07,2.9346021745928307e-05,1.7372955940795017e-05,-2.4902709919048298e-05
0.035000000000000024,2.710060310041344e-06,5.065363173301425e-07,3.4566225192853446e-07,-6.14336418445369e-05,6.551631417106005e-05,-9.342396997546665e-06
0.037000000000000026,2.704113812658675e-06,5.014007582995164e-07,3.4051140638161687e-07,-5.946497382668823e-06,-5.13555903062604e-06,-5.150845546917575e-06
0.03900000000000003,2.6936557781876055e-06,5.229711948190025e-07,3.750313040302151e-07,-1.0458034471069325e-05,2.1570436519486117e-05,3.451989764859823e-05
