Time (s),X (m),Y (m),Z (m),Vx (m/s),Vy (m/s),Vz (m/s),Fx (N),Fy (N),Fz (N),¦Øx (rad/s),¦Øy (rad/s),¦Øz (rad/s),¦Óx (N¡¤m),¦Óy (N¡¤m),¦Óz (N¡¤m)
1.000000e-06,1.638193e-06,1.679562e-06,8.154273e-09,1.531132e-01,1.647457e-01,8.154273e-03,8.540586e-11,9.149663e-11,4.269567e-12,-6.337378e+03,6.337378e+03,0.000000e+00,-3.318243e-19,3.318243e-19,0.000000e+00
2.000000e-06,-3.676726e-07,-1.614360e-06,-1.508683e-07,-2.588835e+00,-2.798744e+00,-1.590225e-01,-1.435681e-09,-1.551679e-09,-8.753358e-11,3.682541e+05,-3.683933e+05,0.000000e+00,1.961356e-17,-1.962085e-17,0.000000e+00
3.000000e-06,-1.369181e-03,1.386531e-03,2.564382e-06,4.399716e+01,4.759566e+01,2.715250e+00,2.439237e-08,2.638645e-08,1.504966e-09,-2.171933e+07,2.173346e+07,0.000000e+00,-1.156503e-15,1.157250e-15,0.000000e+00
4.000000e-06,-1.048818e+00,-3.837422e+00,-4.361065e-05,-7.479623e+02,-8.091422e+02,-4.617503e+01,-4.146690e-07,-4.485869e-07,-2.559889e-08,1.281440e+09,-1.282274e+09,0.000000e+00,6.823328e-14,-6.827768e-14,0.000000e+00
5.000000e-06,4.089645e+05,-1.108216e+05,7.413537e-04,1.271531e+04,1.375541e+04,7.849643e+02,7.049354e-06,7.625981e-06,4.351836e-07,-7.560497e+10,7.565418e+10,0.000000e+00,-4.025763e-12,4.028383e-12,0.000000e+00
6.000000e-06,6.993336e+11,2.580739e+12,-1.260302e-02,-2.161603e+05,-2.338419e+05,-1.334437e+04,-1.198390e-04,-1.296417e-04,-7.398105e-06,4.460694e+12,-4.463597e+12,0.000000e+00,2.375200e-10,-2.376746e-10,0.000000e+00
7.000000e-06,-9.608483e+20,2.603725e+20,2.142513e-01,3.674726e+06,3.975313e+06,2.268544e+05,2.037263e-03,2.203908e-03,1.257678e-04,-2.631809e+14,2.633522e+14,0.000000e+00,-1.401368e-08,1.402280e-08,0.000000e+00
8.000000e-06,-5.719497e+30,-2.110656e+31,-3.642273e+00,-6.247034e+07,-6.758032e+07,-3.856524e+06,-3.463348e-02,-3.746644e-02,-2.138052e-03,1.552767e+16,-1.553778e+16,0.000000e+00,8.268072e-07,-8.273453e-07,0.000000e+00
9.000000e-06,2.735472e+43,-7.412635e+42,6.191864e+01,1.061996e+09,1.148865e+09,6.556091e+07,5.887691e-01,6.369295e-01,3.634688e-02,-9.161328e+17,9.167290e+17,0.000000e+00,-4.878163e-05,4.881337e-05,0.000000e+00
1.000000e-05,5.668124e+56,2.091698e+57,-1.052617e+03,-1.805393e+10,-1.953071e+10,-1.114535e+09,-1.000907e+01,-1.082780e+01,-6.178970e-01,5.405183e+19,-5.408701e+19,0.000000e+00,2.878116e-03,-2.879989e-03,0.000000e+00
1.100000e-05,-9.436648e+72,2.557161e+72,1.789449e+04,3.069168e+11,3.320221e+11,1.894710e+10,1.701543e+02,1.840726e+02,1.050425e+01,-3.189058e+21,3.191134e+21,0.000000e+00,-1.698088e-01,1.699194e-01,0.000000e+00
