Particle_ID,Time (s),X (m),Y (m),Z (m),Vx (m/s),Vy (m/s),Vz (m/s)
1,21.61900000000344,3.3009715820666825e-06,2.1530968621876238e-06,1.3115438607909658e-07,-1.0902997913393772e-06,2.0750429195543945e-06,2.2085276862775865e-05
1,21.62100000000344,3.2589017329622516e-06,2.1369634341825675e-06,1.367707979214638e-07,-4.20698491044307e-05,-1.613342800505632e-05,5.616411842367226e-06
1,21.623000000003444,3.2312770119767446e-06,2.149202623411696e-06,1.4484339190787684e-07,-2.7624720985507006e-05,1.2239189229128785e-05,8.072593986413027e-06
1,21.625000000003446,3.249250616337104e-06,2.1512295299109235e-06,8.258525209372847e-08,1.7973604360359316e-05,2.026906499227318e-06,-6.225813981414838e-05
1,21.62700000000345,3.1897024474682638e-06,2.203354530322737e-06,8.341903703889988e-08,-5.9548168868839864e-05,5.2125000411813195e-05,8.337849451714202e-07
1,21.62900000000345,3.1946495502479797e-06,2.1524249040836268e-06,1.6509270997171486e-07,4.947102779716121e-06,-5.0929626239110305e-05,8.167367293281498e-05
1,21.631000000003453,3.168380701321793e-06,2.151831502592931e-06,1.250600969878767e-07,-2.6268848926186627e-05,-5.934014906956053e-07,-4.003261298383817e-05
1,21.633000000003456,3.1846355757400645e-06,2.1570047075616016e-06,1.51871783183441e-07,1.6254874418271315e-05,5.173204968670545e-06,2.6811686195564296e-05
1,21.63500000000346,3.1775397363870655e-06,2.108150025230504e-06,1.7351961662202446e-07,-7.095839352998817e-06,-4.885468233109781e-05,2.1647833438583462e-05
1,21.63700000000346,3.2152091590218285e-06,2.1420704145795592e-06,1.4908917035618148e-07,3.766942263476283e-05,3.3920389349055337e-05,-2.4430446265842976e-05
1,21.639000000003463,3.238182346693508e-06,2.1691934060282303e-06,1.908925716993326e-07,2.2973187671679556e-05,2.712299144867096e-05,4.180340134315111e-05
1,21.641000000003466,3.1713601291271336e-06,2.1307537746775076e-06,1.2183966737878214e-07,-6.682221756637436e-05,-3.8439631350722715e-05,-6.905290432055045e-05
1,21.643000000003468,3.1671845763145735e-06,2.0740085533401633e-06,1.480750001799882e-07,-4.175552812560082e-06,-5.674522133734443e-05,2.6235332801206053e-05
1,21.64500000000347,3.157919487165953e-06,2.1246397535047576e-06,1.597331009782866e-07,-9.265089148620247e-06,5.063120016459432e-05,1.1658100798298388e-05
1,21.647000000003473,3.149989439922292e-06,2.13430704832397e-06,1.0955697001137282e-07,-7.930047243661003e-06,9.667294819212287e-06,-5.017613096691377e-05
1,21.649000000003475,3.191837786896268e-06,2.195832489355586e-06,9.784102641906035e-08,4.18483469739762e-05,6.152544103161602e-05,-1.1715943592312473e-05
1,21.651000000003478,3.1985391337225737e-06,2.176522069465492e-06,8.180355387724463e-08,6.701346826305476e-06,-1.9310419890093747e-05,-1.6037472541815714e-05
1,21.65300000000348,3.209646511930006e-06,2.2195012928064877e-06,1.241602630022606e-07,1.1107378207432417e-05,4.297922334099564e-05,4.2356709125015956e-05
1,21.655000000003483,3.208835192790923e-06,2.217300149197543e-06,1.193637086029199e-07,-8.11319139083343e-07,-2.2011436089449027e-06,-4.796554399340704e-06
1,21.657000000003485,3.245546802885193e-06,2.2386456516891894e-06,1.479627843033021e-07,3.6711610094269905e-05,2.134550249164649e-05,2.8599075700382203e-05
1,21.659000000003488,3.246818052725963e-06,2.3098495531501357e-06,1.4703554329092067e-07,1.271249840769876e-06,7.120390146094634e-05,-9.272410123814113e-07
1,21.66100000000349,3.213128783250766e-06,2.3056487752742303e-06,7.463771199585802e-08,-3.368926947519696e-05,-4.200777875905475e-06,-7.239783129506264e-05
1,21.663000000003493,3.199866038439827e-06,2.3036022223871877e-06,8.855561198935187e-08,-1.3262744810938872e-05,-2.0465528870427903e-06,1.3917899993493851e-05
1,21.665000000003495,3.1682783925994064e-06,2.3110923148681063e-06,1.0572301676208795e-07,-3.1587645840420316e-05,7.490092480918546e-06,1.716740477273608e-05
1,21.667000000003497,3.1316266622152024e-06,2.3020750593060747e-06,9.469530690477782e-08,-3.665173038420397e-05,-9.017255562031574e-06,-1.1027709857310136e-05
1,21.6690000000035,3.146528388384056e-06,2.326171372416611e-06,1.0741637181794168e-07,1.4901726168853627e-05,2.4096313110535903e-05,1.2721064913163856e-05
1,21.671000000003502,3.1943888010352325e-06,2.3512999478212884e-06,1.1505686022548035e-07,4.786041265117633e-05,2.5128575404677404e-05,7.640488407538674e-06
1,21.673000000003505,3.206590898132249e-06,2.3572261436885735e-06,7.789550432291654e-08,1.2202097097016638e-05,5.926195867285313e-06,-3.716135590256381e-05
