Time (s),X (m),Y (m),Z (m),Vx (m/s),Vy (m/s),Vz (m/s)
0.002,5.495289113855745e-06,-1.0917526137182179e-07,8.641089469515783e-08,-4.7108861442545976e-06,-0.0001091752613718218,8.641089469515783e-05
0.004,5.39737474664718e-06,-1.8414299969412543e-07,1.5863985945829953e-07,-9.791436720856576e-05,-7.496773832230362e-05,7.222896476314169e-05
0.006,5.344089918005437e-06,-2.2680619448588453e-07,2.230138765737779e-07,-5.3284828641742165e-05,-4.26631947917591e-05,6.437401711547836e-05
0.008,5.2662312830707e-06,-2.8211458645661015e-07,2.758748431996646e-07,-7.785863493473734e-05,-5.530839197072561e-05,5.2860966625886714e-05
0.010000000000000002,5.219187350062398e-06,-3.269124861509847e-07,3.1494202785924243e-07,-4.7043933008301704e-05,-4.479789969437454e-05,3.906718465957781e-05
0.012000000000000004,5.217222641464944e-06,-2.3090060296962153e-07,3.848507650508836e-07,-1.964708597454293e-06,9.601188318136317e-05,6.990873719164116e-05
0.014000000000000005,5.12991877620076e-06,-2.9184781539686757e-07,4.4705680358879587e-07,-8.730386526418466e-05,-6.0947212427246005e-05,6.220603853791229e-05
0.016000000000000007,5.111430385042721e-06,-3.462013679950604e-07,5.265085699391462e-07,-1.8488391158038583e-05,-5.435355259819286e-05,7.945176635035032e-05
0.01800000000000001,5.079719155301317e-06,-4.0257604288601254e-07,5.912769366365044e-07,-3.1711229741404166e-05,-5.637467489095212e-05,6.476836669735818e-05
0.02000000000000001,5.033342413016701e-06,-3.794077517938776e-07,6.276840486870846e-07,-4.637674228461562e-05,2.3168291092134954e-05,3.6407112050580144e-05
0.022000000000000013,5.010173142315527e-06,-4.430092430976005e-07,6.993002356517698e-07,-2.3169270701174717e-05,-6.360149130372289e-05,7.16161869646851e-05
0.024000000000000014,4.957601318941005e-06,-4.7375716721030713e-07,7.011509284202141e-07,-5.25718233745219e-05,-3.0747924112706675e-05,1.8506927684443928e-06
0.026000000000000016,4.9239435442147355e-06,-5.138934050584677e-07,7.113725056020063e-07,-3.365777472626933e-05,-4.0136237848160556e-05,1.0221577181792142e-05
0.028000000000000018,4.885336710291872e-06,-5.031415559616916e-07,7.261257689168232e-07,-3.8606833922863106e-05,1.075184909677602e-05,1.475326331481682e-05
