Time (s),X (m),Y (m),Z (m),Vx (m/s),Vy (m/s),Vz (m/s)
1e-06,3.0009741195892037e-06,1.139464829791277e-09,-3.704248649627014e-10,0.000974119589203737,0.0011394648297912771,-0.0003704248649627014
3e-06,3.0003874040073384e-06,3.4415954654901965e-09,-1.3132334852011767e-09,-0.0005867155818653804,0.0023021306356989196,-0.0009428086202384751
4.9999999999999996e-06,3.000609587547907e-06,2.955380686429967e-09,9.266202970184163e-10,0.00022218354056845934,-0.00048621477906022947,0.002239853782219593
6.999999999999999e-06,3.0025186283995965e-06,2.2127393166915553e-09,5.567618471495044e-10,0.0019090408516896104,-0.0007426413697384116,-0.0003698584498689118
9e-06,3.0038655609665245e-06,3.293391157104472e-09,1.9793655689637804e-10,0.0013469325669279684,0.0010806518404129167,-0.0003588252902531264
1.1000000000000001e-05,3.0025616782841524e-06,2.9314790245092437e-09,-7.157092080415628e-10,-0.0013038826823720628,-0.0003619121325952284,-0.0009136457649379409
1.3000000000000003e-05,3.001596523973279e-06,2.751427552928384e-09,6.667330335562687e-10,-0.0009651543108734562,-0.00018005147158085976,0.0013824422415978316
1.5000000000000004e-05,3.0026519640858136e-06,3.418135664608624e-09,1.3529969018809914e-09,0.0010554401125347412,0.0006667081116802404,0.0006862638683247228
1.7000000000000003e-05,3.002106104418295e-06,2.202128173341356e-09,2.15328342487557e-09,-0.0005458596675187383,-0.0012160074912672683,0.0008002865229945783
1.9000000000000004e-05,3.0041650541820406e-06,1.1138251806035934e-09,2.7983130570440982e-09,0.002058949763745551,-0.0010883029927377626,0.0006450296321685286
2.1000000000000006e-05,3.004247604738687e-06,4.100858368813606e-12,2.78702537161415e-09,8.255055664668332e-05,-0.0011097243222347797,-1.1287685429948589e-05
2.3000000000000007e-05,3.003910658730766e-06,-2.5334854889318157e-11,1.8704497093330993e-09,-0.00033694600792109035,-2.9435713258131765e-05,-0.0009165756622810503
2.5000000000000008e-05,3.003919077042312e-06,1.237576990897056e-09,2.4380813611402203e-09,8.418311546229171e-06,0.0012629118457863743,0.0005676316518071208
2.700000000000001e-05,3.003524747265311e-06,7.806043841237429e-10,2.1716424319215555e-09,-0.00039432977700111336,-0.00045697260677331317,-0.0002664389292186649
2.900000000000001e-05,3.003233218000014e-06,8.063762064452932e-10,1.2191919582983363e-09,-0.0002915292652968885,2.577182232155027e-05,-0.0009524504736232192
3.100000000000001e-05,3.003006999084853e-06,1.1032982101984952e-09,3.777761086228492e-09,-0.00022621891516077071,0.00029692200375320204,0.0025585691279301553
3.3e-05,3.0044012991589624e-06,1.7764036656112702e-09,4.843142318283269e-09,0.0013943000741091529,0.0006731054554127749,0.0010653812320547769
3.5e-05,3.0053753789488483e-06,1.5310545032280217e-09,6.752984489635555e-09,0.000974079789886066,-0.0002453491623832486,0.0019098421713522867
3.699999999999999e-05,3.004832620878081e-06,-4.4752697502661564e-10,9.753001063956991e-09,-0.0005427580707673626,-0.0019785814782546374,0.0030000165743214353
3.8999999999999986e-05,3.0057290270740716e-06,-6.5228494318999e-10,1.2539694415387854e-08,0.0008964061959903949,-0.00020475796816337436,0.0027866933514308634
4.099999999999998e-05,3.0055618591983555e-06,-7.431266815971187e-10,1.4069178124227578e-08,-0.00016716787571620465,-9.084173840712862e-05,0.0015294837088397242
4.2999999999999975e-05,3.0071742440271113e-06,-1.6362711265125268e-09,1.5051282518713515e-08,0.001612384828755619,-0.000893144444915408,0.0009821043944859382
4.499999999999997e-05,3.009669015570848e-06,-1.451683092849217e-09,1.3779790878920077e-08,0.002494771543736282,0.00018458803366330965,-0.0012714916397934372
4.699999999999996e-05,3.009206319427261e-06,-1.867510777922507e-09,1.3222952523844697e-08,-0.00046269614358691776,-0.0004158276850732899,-0.0005568383550753803
4.899999999999996e-05,3.008077835170935e-06,-2.391739281860359e-09,1.4082571658456753e-08,-0.0011284842563262106,-0.0005242285039378521,0.0008596191346120561
5.099999999999995e-05,3.0087221414674066e-06,-4.507013166030151e-09,1.3495342330958901e-08,0.0006443062964718283,-0.002115273884169792,-0.0005872293274978513
5.2999999999999947e-05,3.008792668070095e-06,-4.213548964474671e-09,1.2219620395907204e-08,7.052660268816806e-05,0.00029346420155547967,-0.0012757219350516976
5.499999999999994e-05,3.010901797763224e-06,-3.651479046735708e-09,1.2382936011914733e-08,0.002109129693129206,0.0005620699177389635,0.00016331561600752828
5.6999999999999935e-05,3.0116485178938495e-06,-4.632578109505083e-09,1.124400339608929e-08,0.0007467201306257143,-0.000981099062769375,-0.001138932615825444
5.899999999999993e-05,3.0120437836791445e-06,-3.7082257615667056e-09,1.0378238882825418e-08,0.0003952657852948104,0.0009243523479383775,-0.0008657645132638716
6.0999999999999924e-05,3.01016428128335e-06,-2.020793260669264e-09,8.990197836559353e-09,-0.0018795023957948155,0.0016874325008974414,-0.001388041046266065
6.299999999999992e-05,3.0102528990118078e-06,-2.4753484808804217e-09,8.423319848150423e-09,8.861772845787553e-05,-0.0004545552202111576,-0.0005668779884089305
6.499999999999991e-05,3.0109233806848206e-06,-3.006474388633233e-09,8.811265366402136e-09,0.0006704816730126963,-0.0005311259077528115,0.0003879455182517135
6.699999999999991e-05,3.0094708072938643e-06,-2.546923200488858e-09,1.0833477639215035e-08,-0.0014525733909560464,0.0004595511881443754,0.0020222122728128992
6.89999999999999e-05,3.0094303502382692e-06,-2.114492380835746e-09,1.1169818830653044e-08,-4.0457055595208385e-05,0.00043243081965311175,0.0003363411914380083
7.09999999999999e-05,3.0101906151525713e-06,-2.329094031964041e-09,1.034301309241448e-08,0.0007602649143022244,-0.000214601651128295,-0.0008268057382385633
7.299999999999989e-05,3.0112215259773766e-06,-3.98443407779089e-09,1.0058792632590601e-08,0.0010309108248051785,-0.001655340045826849,-0.0002842204598238789
7.499999999999989e-05,3.012585049549957e-06,-4.0560803014596884e-09,1.0589906246461986e-08,0.0013635235725805146,-7.164622366879794e-05,0.0005311136138713855
7.699999999999988e-05,3.01233872288886e-06,-4.527877264618081e-09,1.0375763069527456e-08,-0.00024632666109714794,-0.0004717969631583927,-0.00021414317693453145
7.899999999999987e-05,3.011487405598654e-06,-4.852597303879179e-09,1.070081134451932e-08,-0.0008513172902061473,-0.0003247200392610975,0.00032504827499186336
8.099999999999987e-05,3.0132412378525007e-06,-6.157352150661622e-09,1.047333497744863e-08,0.0017538322538467692,-0.0013047548467824434,-0.00022747636707069004
8.299999999999986e-05,3.013756070237016e-06,-5.363772932261865e-09,1.0465539446428536e-08,0.0005148323845150445,0.000793579218399757,-7.795531020093688e-06
8.499999999999986e-05,3.013789855397668e-06,-5.534308089469541e-09,1.1055316903217991e-08,3.378516065227232e-05,-0.00017053515720767568,0.0005897774567894557
8.699999999999985e-05,3.0148192130597523e-06,-4.605772534663075e-09,1.243987420703716e-08,0.0010293576620844075,0.0009285355548064655,0.0013845573038191695
8.899999999999985e-05,3.014291552365001e-06,-4.945386421498373e-09,1.2803351380972222e-08,-0.0005276606947515173,-0.00033961388683529823,0.00036347717393506266
9.099999999999984e-05,3.0139096081299456e-06,-3.735517640629215e-09,1.3245586316497186e-08,-0.0003819442350551456,0.0012098687808691578,0.00044223493552496496
9.299999999999983e-05,3.0161556375606858e-06,-2.655840538367503e-09,1.4955455287221765e-08,0.002246029430740307,0.0010796771022617126,0.0017098689707245776
9.499999999999983e-05,3.0162133231910514e-06,-3.060099522879114e-09,1.5541421586668924e-08,5.7685630365522646e-05,-0.0004042589845116111,0.0005859662994471577
9.699999999999982e-05,3.016179043524602e-06,-2.1343635908175586e-09,1.5480765399023496e-08,-3.4279666449088e-05,0.0009257359320615557,-6.065618764542948e-05
9.899999999999982e-05,3.0167254951140014e-06,-3.907140664294875e-09,1.688195886904962e-08,0.0005464515893991216,-0.001772777073477316,0.0014011934700261263
0.00010099999999999981,3.0172961168293043e-06,-3.0742590578225e-09,1.6041680257735688e-08,0.0005706217153027097,0.0008328816064723748,-0.0008402786113139328
0.0001029999999999998,3.017846185982399e-06,-1.2559683455948274e-09,1.5900714559354402e-08,0.0005500691530947062,0.0018182907122276726,-0.00014096569838128553
0.0001049999999999998,3.0167850611156026e-06,3.2077512023213085e-10,1.5493502311507837e-08,-0.0010611248667962779,0.0015767434658269582,-0.0004072122478465646
0.0001069999999999998,3.016055753271631e-06,-1.664986188695045e-10,1.4293187139199174e-08,-0.000729307843971702,-0.0004872737391016354,-0.0012003151723086638
