Particle_ID,Time (s),X (m),Y (m),Z (m),Vx (m/s),Vy (m/s),Vz (m/s)
1,0.001,3.0942750155083323e-06,8.012674766328358e-08,-3.890087705426511e-08,9.427501550833241e-05,8.012674766328358e-05,-3.890087705426511e-05
1,0.003,3.1265667507191557e-06,1.650886799177155e-07,-6.95003723232948e-08,3.229173521082347e-05,8.496193225443192e-05,-3.059949526902969e-05
1,0.005,3.205859503093134e-06,2.1186567920943864e-07,-8.779668430958821e-08,7.929275237397843e-05,4.6776999291723155e-05,-1.82963119862934e-05
1,0.007,3.2507022270179467e-06,2.7132670708602864e-07,-9.224268670962848e-08,4.484272392481261e-05,5.9461027876589985e-05,-4.446002400040278e-06
1,0.009000000000000001,3.327161422663994e-06,3.416592455182868e-07,-9.347281182782783e-08,7.645919564604726e-05,7.033253843225819e-05,-1.2301251181993602e-06
1,0.011000000000000003,3.363540095897045e-06,4.454636180120389e-07,-1.1120872144481413e-07,3.6378673233051064e-05,0.00010380437249375208,-1.7735909616986306e-05
1,0.013000000000000005,3.424522105924657e-06,5.374183454632825e-07,-9.08935991883621e-08,6.09820100276121e-05,9.195472745124365e-05,2.031512225645203e-05
1,0.015000000000000006,3.4208349725877254e-06,5.854138049028501e-07,-1.6973600963411585e-07,-3.687133336931779e-06,4.7995459439567625e-05,-7.884241044575375e-05
1,0.017000000000000008,3.4563628351195384e-06,6.212782582581522e-07,-1.7467194537382007e-07,3.552786253181317e-05,3.586445335530212e-05,-4.935935739704237e-06
1,0.01900000000000001,3.4459219986395953e-06,6.511646189382353e-07,-2.4602153063313115e-07,-1.0440836479942927e-05,2.9886360680083004e-05,-7.134958525931109e-05
1,0.02100000000000001,3.467592249487955e-06,6.97682713684261e-07,-2.695184002045186e-07,2.1670250848359894e-05,4.651809474602579e-05,-2.3496869571387478e-05
1,0.023000000000000013,3.460407830397858e-06,7.01978007344217e-07,-3.074453629968948e-07,-7.184419090097176e-06,4.295293659956008e-06,-3.792696279237619e-05
1,0.025000000000000015,3.4537819596405413e-06,7.131521482122718e-07,-3.1346990247591947e-07,-6.625870757316551e-06,1.1174140868054799e-05,-6.024539479024668e-06
1,0.027000000000000017,3.5384845207603593e-06,7.275738537090621e-07,-3.032367281696188e-07,8.470256111981797e-05,1.4421705496790273e-05,1.0233174306300669e-05
1,0.02900000000000002,3.5336713286999634e-06,8.293039865104367e-07,-3.3491658955556e-07,-4.8131920603959484e-06,0.00010173013280137457,-3.1679861385941206e-05
1,0.03100000000000002,3.5652777928009356e-06,8.133474841064914e-07,-3.622353550824444e-07,3.160646410097239e-05,-1.5956502403945267e-05,-2.7318765526884364e-05
1,0.03300000000000002,3.6304468043437746e-06,9.064670681443163e-07,-4.1816773144733167e-07,6.516901154283914e-05,9.311958403782493e-05,-5.593237636488725e-05
1,0.035000000000000024,3.6308400964615544e-06,9.79838978025576e-07,-4.0260114533767624e-07,3.932921177799221e-07,7.337190988125972e-05,1.5566586109655448e-05
1,0.037000000000000026,3.629518393678136e-06,1.0078808949733311e-06,-3.938238648377323e-07,-1.3217027834181247e-06,2.8041916947755123e-05,8.777280499943918e-06
1,0.03900000000000003,3.6532302341003025e-06,9.888878574180367e-07,-3.9643505701797164e-07,2.3711840422166335e-05,-1.899303755529439e-05,-2.6111921802393115e-06
